timestep,displacement_am
1,-0.460599
2,-0.445889
3,-0.398227
4,-0.321307
5,-0.220977
6,-0.104806
7,0.018514
8,0.139822
9,0.250132
10,0.341310
11,0.406727
12,0.441666
13,0.443694
14,0.412838
15,0.351565
16,0.264575
17,0.158461
18,0.041170
19,-0.078524
20,-0.191751
21,-0.290152
22,-0.366525
23,-0.415329
24,-0.433090
25,-0.418666
26,-0.373320
27,-0.300567
28,-0.205940
29,-0.096612
30,0.019277
31,0.133093
32,0.236398
33,0.321598
34,0.382517
35,0.414743
36,0.416057
37,0.386563
38,0.328596
39,0.246624
40,0.146853
41,0.036786
42,-0.075368
43,-0.181286
44,-0.273156
45,-0.344263
46,-0.389458
47,-0.405529
48,-0.391476
49,-0.348510
50,-0.280004
51,-0.191145
52,-0.088660
53,0.019757
54,0.126074
55,0.222410
56,0.301682
57,0.358156
58,0.387730
59,0.388434
60,0.360351
61,0.305759
62,0.228874
63,0.135495
64,0.032677
65,-0.071940
66,-0.170554
67,-0.255934
68,-0.321820
69,-0.363468
70,-0.377932
71,-0.364316
72,-0.323820
73,-0.259602
74,-0.176559
75,-0.080992
76,0.019966
77,0.118788
78,0.208171
79,0.281565
80,0.333629
81,0.360649
82,0.360795
83,0.334219
84,0.283073
85,0.211312
86,0.124387
87,0.028837
88,-0.068222
89,-0.159565
90,-0.238477
91,-0.299202
92,-0.337368
93,-0.350293
94,-0.337199
95,-0.299227
96,-0.239379
97,-0.162213
98,-0.073569
99,0.019884
100,0.111224
101,0.193688
102,0.261232
103,0.308965
104,0.333482
105,0.333148
106,0.308152
107,0.260535
108,0.193966
109,0.113526
110,0.025265
111,-0.064220
112,-0.148306
113,-0.220787
114,-0.276402
115,-0.311160
116,-0.322614
117,-0.310116
118,-0.274769
119,-0.219353
120,-0.148142
121,-0.066523
122,0.019363
123,0.103093
124,0.178472
125,0.239967
126,0.283106
127,0.304844
128,0.303833
129,0.280501
130,0.237045
131,0.177295
132,0.106414
133,0.030350
134,-0.044783
135,-0.113426
136,-0.171438
137,-0.216590
138,-0.248918
139,-0.270431
140,-0.284025
141,-0.292017
142,-0.294146
143,-0.286212
144,-0.259726
145,-0.203495
146,-0.107302
147,0.033120
148,0.211071
149,0.406365
150,0.586780
151,0.714762
152,0.757638
153,0.698649
154,0.543959
155,0.322357
156,0.076451
157,-0.151784
158,-0.335177
159,-0.468656
160,-0.565806
161,-0.645952
162,-0.718363
163,-0.772541
164,-0.780778
165,-0.712593
166,-0.553601
167,-0.317652
168,-0.044405
169,0.217411
170,0.431712
171,0.588665
172,0.701846
173,0.790768
174,0.860793
175,0.894412
176,0.860902
177,0.737974
178,0.530842
179,0.274327
180,0.015841
181,-0.209266
182,-0.392774
183,-0.548162
184,-0.689441
185,-0.811005
186,-0.884878
187,-0.878298
188,-0.778343
189,-0.604294
190,-0.397271
191,-0.194962
192,-0.011308
193,0.163224
194,0.341808
195,0.519334
196,0.667746
197,0.753100
198,0.759751
199,0.700863
200,0.605988
201,0.496540
202,0.371045
203,0.213441
204,0.016429
205,-0.201553
206,-0.402216
207,-0.551530
208,-0.640689
209,-0.685149
210,-0.703619
211,-0.696992
212,-0.647125
213,-0.536214
214,-0.367995
215,-0.170550
216,0.021527
217,0.188896
218,0.333846
219,0.466921
220,0.587461
221,0.676523
222,0.708723
223,0.672304
224,0.579732
225,0.458525
226,0.329968
227,0.194878
228,0.040884
229,-0.134645
230,-0.309693
231,-0.448338
232,-0.528423
233,-0.557600
234,-0.559529
235,-0.545106
236,-0.500653
237,-0.406247
238,-0.263122
239,-0.099202
240,0.052509
241,0.178211
242,0.285821
243,0.385770
244,0.472336
245,0.524109
246,0.522064
247,0.466928
248,0.379095
249,0.280824
250,0.178609
251,0.064025
252,-0.068002
253,-0.203996
254,-0.317455
255,-0.388971
256,-0.419263
257,-0.422381
258,-0.407827
259,-0.370682
260,-0.299087
261,-0.190790
262,-0.061940
263,0.061759
264,0.164113
265,0.247666
266,0.322297
267,0.386199
268,0.421616
269,0.411160
270,0.355868
271,0.274591
272,0.186156
273,0.094151
274,-0.009728
275,-0.128182
276,-0.246225
277,-0.338903
278,-0.391553
279,-0.410174
280,-0.409425
281,-0.392740
282,-0.348346
283,-0.265615
284,-0.151718
285,-0.029082
286,0.082612
287,0.179867
288,0.270113
289,0.354781
290,0.420090
291,0.447113
292,0.429952
293,0.380770
294,0.315852
295,0.239622
296,0.145323
297,0.030206
298,-0.093805
299,-0.205773
300,-0.291257
301,-0.350603
302,-0.391648
303,-0.415492
304,-0.412114
305,-0.371465
306,-0.296769
307,-0.203794
308,-0.107537
309,-0.011944
310,0.086190
311,0.185445
312,0.273808
313,0.335402
314,0.362961
315,0.362071
316,0.342304
317,0.305719
318,0.246658
319,0.162642
320,0.062778
321,-0.036610
322,-0.123438
323,-0.196145
324,-0.258255
325,-0.308042
326,-0.335368
327,-0.330427
328,-0.294216
329,-0.237972
330,-0.172166
331,-0.098589
332,-0.014222
333,0.078398
334,0.167163
335,0.237528
336,0.283218
337,0.308238
338,0.317967
339,0.309974
340,0.276547
341,0.215593
342,0.136326
343,0.052593
344,-0.027794
345,-0.105641
346,-0.182399
347,-0.251698
348,-0.300880
349,-0.321562
350,-0.316475
351,-0.294299
352,-0.258882
353,-0.206592
354,-0.134591
355,-0.049036
356,0.036657
357,0.111703
358,0.174459
359,0.228157
360,0.271331
361,0.295269
362,0.292135
363,0.263520
364,0.218758
365,0.165403
366,0.103860
367,0.031940
368,-0.046773
369,-0.121266
370,-0.180624
371,-0.221833
372,-0.248653
373,-0.262922
374,-0.260208
375,-0.234866
376,-0.188105
377,-0.128528
378,-0.065177
379,-0.001279
380,0.064171
381,0.129273
382,0.185903
383,0.224781
384,0.242919
385,0.243829
386,0.231219
387,0.204229
388,0.160063
389,0.100179
390,0.032200
391,-0.034665
392,-0.095688
393,-0.150583
394,-0.198225
395,-0.233218
396,-0.249062
397,-0.243835
398,-0.221204
399,-0.186024
400,-0.140375
401,-0.084173
402,-0.019646
403,0.046604
404,0.106553
405,0.155520
406,0.192846
407,0.218184
408,0.228886
409,0.221686
410,0.196351
411,0.156612
412,0.107759
413,0.053479
414,-0.004461
