timestep,charge_level,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
1,0.125000,-0.053538,0.000000,0.022754,0.000000,0.000000
2,0.125000,0.216005,0.000000,0.023010,0.000000,0.000000
3,0.125000,0.462592,0.000000,0.027570,0.000000,0.000000
4,0.125000,0.664362,0.000000,0.042735,0.000000,0.000000
5,0.125000,0.803764,0.000000,0.063435,0.000000,0.000000
6,0.125000,0.869101,0.000000,0.085053,0.000000,0.000000
7,0.125000,0.855512,0.000000,0.104760,0.000000,0.000000
8,0.125000,0.765272,0.000000,0.120745,0.000000,0.000000
9,0.125000,0.607550,0.000000,0.132040,0.000000,0.000000
10,0.125000,0.397455,0.000000,0.138539,0.000000,0.000000
11,0.125000,0.154603,0.000000,0.141021,0.000000,0.000000
12,0.125000,-0.098727,0.000000,0.141092,0.000000,0.000000
13,0.125000,-0.339615,0.000000,0.140912,0.000000,0.000000
14,0.125000,-0.546577,0.000000,0.142596,0.000000,0.000000
15,0.125000,-0.701505,0.000000,0.147396,0.000000,0.000000
16,0.125000,-0.791211,0.000000,0.155169,0.000000,0.000000
17,0.125000,-0.808584,0.000000,0.164582,0.000000,0.000000
18,0.125000,-0.753113,0.000000,0.173841,0.000000,0.000000
19,0.125000,-0.630861,0.000000,0.181399,0.000000,0.000000
20,0.125000,-0.453801,0.000000,0.186363,0.000000,0.000000
21,0.125000,-0.238669,0.000000,0.188645,0.000000,0.000000
22,0.125000,-0.005356,0.000000,0.188928,0.000000,0.000000
23,0.125000,0.224880,0.000000,0.188456,0.000000,0.000000
24,0.125000,0.431401,0.000000,0.188655,0.000000,0.000520
25,0.125000,0.596002,0.000000,0.190640,0.000000,0.000520
26,0.125000,0.704560,0.000000,0.194776,0.000000,0.000520
27,0.125000,0.748186,0.000000,0.200575,0.000000,0.000520
28,0.125000,0.723991,0.000000,0.206949,0.000000,0.000520
29,0.125000,0.635202,0.000000,0.212684,0.000000,0.000520
30,0.125000,0.490872,0.000000,0.216854,0.000000,0.000520
31,0.125000,0.304842,0.000000,0.219079,0.000000,0.000520
32,0.125000,0.094496,0.000000,0.219591,0.000000,0.000520
33,0.125000,-0.120845,0.000000,0.219143,0.000000,0.000520
34,0.125000,-0.321762,0.000000,0.218761,0.000000,0.000520
35,0.125000,-0.490441,0.000000,0.219397,0.000000,0.000520
36,0.125000,-0.612271,0.000000,0.221578,0.000000,0.000520
37,0.125000,-0.677097,0.000000,0.225224,0.000000,0.000520
38,0.125000,-0.680092,0.000000,0.229705,0.000000,0.000520
39,0.125000,-0.622039,0.000000,0.234122,0.000000,0.000520
40,0.125000,-0.509216,0.000000,0.237642,0.000000,0.000520
41,0.125000,-0.352729,0.000000,0.239767,0.000000,0.000520
42,0.125000,-0.167405,0.000000,0.240463,0.000000,0.000520
43,0.125000,0.029579,0.000000,0.240153,0.000000,0.000520
44,0.125000,0.220332,0.000000,0.239562,0.000000,0.001040
45,0.125000,0.387835,0.000000,0.239469,0.000000,0.001040
46,0.125000,0.517457,0.000000,0.240439,0.000000,0.001040
47,0.125000,0.598274,0.000000,0.242612,0.000000,0.001040
48,0.125000,0.623923,0.000000,0.245675,0.000000,0.001040
49,0.125000,0.593173,0.000000,0.248999,0.000000,0.001040
50,0.125000,0.509843,0.000000,0.251893,0.000000,0.001040
51,0.125000,0.382449,0.000000,0.253835,0.000000,0.001040
52,0.125000,0.223268,0.000000,0.254640,0.000000,0.001040
53,0.125000,0.047256,0.000000,0.254493,0.000000,0.001040
54,0.125000,-0.129471,0.000000,0.253878,0.000000,0.001040
55,0.125000,-0.291017,0.000000,0.253408,0.000000,0.001040
56,0.125000,-0.423190,0.000000,0.253610,0.000000,0.001040
57,0.125000,-0.514711,0.000000,0.254738,0.000000,0.001040
58,0.125000,-0.558214,0.000000,0.256694,0.000000,0.001040
59,0.125000,-0.550794,0.000000,0.259076,0.000000,0.001040
60,0.125000,-0.494210,0.000000,0.261346,0.000000,0.001040
61,0.125000,-0.394566,0.000000,0.263023,0.000000,0.001040
62,0.125000,-0.261772,0.000000,0.263844,0.000000,0.001040
63,0.125000,-0.108470,0.000000,0.263834,0.000000,0.001040
64,0.125000,0.051132,0.000000,0.263285,0.000000,0.001040
65,0.125000,0.202553,0.000000,0.262651,0.000000,0.001507
66,0.125000,0.332385,0.000000,0.262385,0.000000,0.001507
67,0.125000,0.429456,0.000000,0.262781,0.000000,0.001507
68,0.125000,0.485822,0.000000,0.263877,0.000000,0.001507
69,0.125000,0.497366,0.000000,0.265449,0.000000,0.001507
70,0.125000,0.464119,0.000000,0.267109,0.000000,0.001507
71,0.125000,0.390149,0.000000,0.268454,0.000000,0.001507
72,0.125000,0.283069,0.000000,0.269200,0.000000,0.001507
73,0.125000,0.153328,0.000000,0.269271,0.000000,0.001507
74,0.125000,0.013128,0.000000,0.268816,0.000000,0.001507
75,0.125000,-0.124664,0.000000,0.268144,0.000000,0.001507
76,0.125000,-0.247768,0.000000,0.267618,0.000000,0.001507
77,0.125000,-0.345470,0.000000,0.267523,0.000000,0.001507
78,0.125000,-0.409692,0.000000,0.267969,0.000000,0.001507
79,0.125000,-0.435552,0.000000,0.268863,0.000000,0.001507
80,0.125000,-0.421751,0.000000,0.269953,0.000000,0.001507
81,0.125000,-0.370632,0.000000,0.270924,0.000000,0.001507
82,0.125000,-0.287795,0.000000,0.271513,0.000000,0.001507
83,0.125000,-0.181587,0.000000,0.271597,0.000000,0.001507
84,0.125000,-0.062214,0.000000,0.271221,0.000000,0.001507
85,0.125000,0.059229,0.000000,0.270578,0.000000,0.001507
86,0.125000,0.171784,0.000000,0.269933,0.000000,0.001952
87,0.125000,0.265581,0.000000,0.269532,0.000000,0.001952
88,0.125000,0.332793,0.000000,0.269512,0.000000,0.001952
89,0.125000,0.368169,0.000001,0.269865,0.000000,0.001952
90,0.125000,0.369546,0.000001,0.270446,0.000000,0.001952
91,0.125000,0.337862,0.000002,0.271031,0.000000,0.001952
92,0.125000,0.277038,0.000003,0.271406,0.000000,0.001952
93,0.125000,0.193498,0.000005,0.271435,0.000000,0.001952
94,0.125000,0.095483,0.000009,0.271101,0.000000,0.001952
95,0.125000,-0.007691,0.000015,0.270507,0.000001,0.001952
96,0.125000,-0.106570,0.000024,0.269830,0.000001,0.001952
97,0.125000,-0.192418,0.000039,0.269260,0.000002,0.001952
98,0.125000,-0.257993,0.000063,0.268931,0.000003,0.001952
99,0.125000,-0.298122,0.000099,0.268877,0.000006,0.001952
100,0.125000,-0.310129,0.000156,0.269031,0.000009,0.001952
101,0.125000,-0.294015,0.000243,0.269252,0.000014,0.001952
102,0.125000,-0.252298,0.000376,0.269382,0.000022,0.001952
103,0.125000,-0.189721,0.000574,0.269299,0.000035,0.001952
104,0.125000,-0.112773,0.000870,0.268960,0.000053,0.001952
105,0.125000,-0.028964,0.001305,0.268405,0.000081,0.001952
106,0.125000,0.053881,0.001939,0.267741,0.000123,0.001952
107,0.125000,0.128332,0.002854,0.267098,0.000184,0.002374
108,0.125000,0.188051,0.004161,0.266584,0.000273,0.002374
109,0.125000,0.228292,0.006008,0.266249,0.000401,0.002374
110,0.125000,0.246307,0.008594,0.266072,0.000583,0.002374
111,0.125000,0.241519,0.012175,0.265977,0.000841,0.002374
112,0.125000,0.215426,0.017084,0.265861,0.001202,0.002374
113,0.125000,0.171428,0.023742,0.265632,0.001702,0.002374
114,0.125000,0.114404,0.032677,0.265244,0.002388,0.002374
115,0.125000,0.050164,0.044540,0.264704,0.003318,0.002374
116,0.125000,-0.015075,0.060121,0.264065,0.004569,0.002374
117,0.125000,-0.075370,0.080361,0.263406,0.006233,0.002374
118,0.125000,-0.125500,0.106363,0.262801,0.008423,0.002374
119,0.125000,-0.161495,0.139392,0.262294,0.011276,0.002374
120,0.125000,-0.180924,0.180869,0.261886,0.014955,0.002374
121,0.125000,-0.183011,0.232350,0.261544,0.019650,0.002374
122,0.125000,-0.168620,0.295489,0.261210,0.025576,0.002374
123,0.125000,-0.140148,0.371987,0.260828,0.032976,0.002374
124,0.125000,-0.101138,0.463515,0.260364,0.042117,0.002374
125,0.125000,-0.055858,0.571622,0.259811,0.053284,0.002374
126,0.125000,-0.008943,0.697617,0.259191,0.066774,0.002374
127,0.125000,0.035169,0.842434,0.258543,0.082884,0.002374
128,0.125000,0.072616,1.006488,0.257908,0.101902,0.002775
129,0.125000,0.100427,1.189511,0.257313,0.124085,0.002775
130,0.125000,0.116834,1.390407,0.256767,0.149649,0.002775
