timestep,charge_level,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
1,0.062500,-0.130560,0.000000,0.010074,0.000000,0.000000
2,0.062500,-0.387365,0.000000,0.013646,0.000000,0.000000
3,0.062500,-0.605136,0.000000,0.030587,0.000000,0.000000
4,0.062500,-0.764944,0.000000,0.052553,0.000000,0.000000
5,0.062500,-0.853415,0.000000,0.075324,0.000000,0.000000
6,0.062500,-0.863822,0.000000,0.096369,0.000000,0.000000
7,0.062500,-0.796555,0.000000,0.113892,0.000000,0.000000
8,0.062500,-0.659022,0.000000,0.126803,0.000000,0.000000
9,0.062500,-0.464795,0.000000,0.134797,0.000000,0.000000
10,0.062500,-0.232333,0.000000,0.138418,0.000000,0.000000
11,0.062500,0.016808,0.000000,0.139045,0.000000,0.000000
12,0.062500,0.259929,0.000000,0.138703,0.000000,0.000992
13,0.062500,0.475302,0.000000,0.139571,0.000000,0.000992
14,0.062500,0.644102,0.000000,0.143221,0.000000,0.000992
15,0.062500,0.752007,0.000000,0.149946,0.000000,0.000992
16,0.062500,0.790453,0.000000,0.158742,0.000000,0.000992
17,0.062500,0.757313,0.000000,0.167920,0.000000,0.000992
18,0.062500,0.656914,0.000000,0.175852,0.000000,0.000992
19,0.062500,0.499564,0.000000,0.181458,0.000000,0.000992
20,0.062500,0.300506,0.000000,0.184418,0.000000,0.000992
21,0.062500,0.078439,0.000000,0.185180,0.000000,0.000992
22,0.062500,-0.146232,0.000000,0.184799,0.000000,0.000992
23,0.062500,-0.353292,0.000000,0.184627,0.000000,0.000992
24,0.062500,-0.524462,0.000000,0.185851,0.000000,0.000992
25,0.062500,-0.645135,0.000000,0.189059,0.000000,0.000992
26,0.062500,-0.705484,0.000000,0.194025,0.000000,0.000992
27,0.062500,-0.701369,0.000000,0.199865,0.000000,0.000992
28,0.062500,-0.634490,0.000000,0.205440,0.000000,0.000992
29,0.062500,-0.512210,0.000000,0.209780,0.000000,0.000992
30,0.062500,-0.346683,0.000000,0.212366,0.000000,0.000992
31,0.062500,-0.153748,0.000000,0.213248,0.000000,0.000992
32,0.062500,0.048710,0.000000,0.212992,0.000000,0.000992
33,0.062500,0.242239,0.000000,0.212487,0.000000,0.001463
34,0.062500,0.409709,0.000000,0.212646,0.000000,0.001463
35,0.062500,0.536632,0.000000,0.214083,0.000000,0.001463
36,0.062500,0.612571,0.000000,0.216892,0.000000,0.001463
37,0.062500,0.631865,0.000000,0.220643,0.000000,0.001463
38,0.062500,0.594134,0.000000,0.224580,0.000000,0.001463
39,0.062500,0.504113,0.000000,0.227923,0.000000,0.001463
40,0.062500,0.371167,0.000000,0.230130,0.000000,0.001463
41,0.062500,0.208263,0.000000,0.231049,0.000000,0.001463
42,0.062500,0.030793,0.000000,0.230941,0.000000,0.001463
43,0.062500,-0.144947,0.000000,0.230373,0.000000,0.001463
44,0.062500,-0.303211,0.000000,0.230025,0.000000,0.001463
45,0.062500,-0.430239,0.000000,0.230449,0.000000,0.001463
46,0.062500,-0.515423,0.000000,0.231876,0.000000,0.001463
47,0.062500,-0.552227,0.000000,0.234150,0.000000,0.001463
48,0.062500,-0.538623,0.000000,0.236805,0.000000,0.001463
49,0.062500,-0.477209,0.000000,0.239263,0.000000,0.001463
50,0.062500,-0.374815,0.000000,0.241038,0.000000,0.001463
51,0.062500,-0.241794,0.000000,0.241891,0.000000,0.001463
52,0.062500,-0.090935,0.000000,0.241891,0.000000,0.001463
53,0.062500,0.063676,0.000000,0.241371,0.000000,0.001463
54,0.062500,0.208036,0.000000,0.240809,0.000000,0.001909
55,0.062500,0.329482,0.000000,0.240656,0.000000,0.001909
56,0.062500,0.417788,0.000000,0.241181,0.000000,0.001909
57,0.062500,0.466020,0.000000,0.242385,0.000000,0.001909
58,0.062500,0.471086,0.000001,0.244013,0.000000,0.001909
59,0.062500,0.433871,0.000001,0.245671,0.000000,0.001909
60,0.062500,0.359104,0.000002,0.246969,0.000000,0.001909
61,0.062500,0.254688,0.000003,0.247656,0.000000,0.001909
62,0.062500,0.131004,0.000005,0.247692,0.000000,0.001909
63,0.062500,-0.000182,0.000009,0.247246,0.000000,0.001909
64,0.062500,-0.126803,0.000015,0.246627,0.000001,0.001909
65,0.062500,-0.237646,0.000024,0.246173,0.000001,0.001909
66,0.062500,-0.323286,0.000039,0.246131,0.000002,0.001909
