timestep,charge_level,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
1,0.000000,-0.130560,0.000000,0.009232,0.000000,0.000000
2,0.000000,-0.387365,0.000000,0.028897,0.000000,0.000000
3,0.000000,-0.605136,0.000000,0.051593,0.000000,0.000000
4,0.000000,-0.764944,0.000000,0.074661,0.000000,0.000000
5,0.000000,-0.853415,0.000000,0.095854,0.000000,0.000000
6,0.000000,-0.863822,0.000000,0.113459,0.000000,0.000000
7,0.000000,-0.796555,0.000000,0.126416,0.000000,0.000000
8,0.000000,-0.659022,0.000000,0.134435,0.000000,0.000000
9,0.000000,-0.464796,0.000000,0.138067,0.000000,0.000000
10,0.000000,-0.232333,0.000000,0.138698,0.000000,0.000000
11,0.000000,0.016808,0.000000,0.138356,0.000000,0.001092
12,0.000000,0.259929,0.000000,0.139228,0.000000,0.001092
13,0.000000,0.475302,0.000000,0.142888,0.000000,0.001092
14,0.000000,0.644102,0.000000,0.149631,0.000000,0.001092
15,0.000000,0.752008,0.000000,0.158445,0.000000,0.001092
16,0.000000,0.790453,0.000000,0.167641,0.000000,0.001092
17,0.000000,0.757313,0.000000,0.175586,0.000000,0.001092
18,0.000000,0.656914,0.000000,0.181202,0.000000,0.001092
19,0.000000,0.499564,0.000000,0.184168,0.000000,0.001092
20,0.000000,0.300506,0.000000,0.184932,0.000000,0.001092
21,0.000000,0.078439,0.000000,0.184552,0.000000,0.001092
22,0.000000,-0.146232,0.000000,0.184380,0.000000,0.001092
23,0.000000,-0.353292,0.000000,0.185608,0.000000,0.001092
24,0.000000,-0.524461,0.000000,0.188821,0.000000,0.001092
25,0.000000,-0.645135,0.000000,0.193794,0.000000,0.001092
26,0.000000,-0.705484,0.000000,0.199642,0.000000,0.001092
27,0.000000,-0.701369,0.000000,0.205224,0.000000,0.001092
28,0.000000,-0.634490,0.000000,0.209569,0.000000,0.001092
29,0.000000,-0.512210,0.000000,0.212159,0.000000,0.001092
30,0.000000,-0.346683,0.000000,0.213043,0.000000,0.001092
31,0.000000,-0.153747,0.000000,0.212788,0.000000,0.001092
32,0.000000,0.048710,0.000000,0.212283,0.000000,0.001557
33,0.000000,0.242239,0.000000,0.212444,0.000000,0.001557
