timestep,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
81,0.353373,0.000000,0.073060,0.000000,0.003866
82,0.400175,0.000000,0.077396,0.000000,0.003827
83,0.388056,0.000000,0.081114,0.000000,0.003789
84,0.365410,0.000000,0.084087,0.000000,0.003751
85,0.374516,0.000000,0.087079,0.000000,0.003714
86,0.340205,0.000000,0.089229,0.000000,0.003677
87,0.316212,0.000000,0.090854,0.000000,0.003640
88,0.272613,0.000000,0.091727,0.000000,0.003603
89,0.229418,0.000000,0.091995,0.000000,0.003567
90,0.187230,0.000000,0.091788,0.000000,0.003532
91,0.149439,0.000000,0.091244,0.000000,0.003496
92,0.105015,0.000000,0.090405,0.000000,0.003461
93,0.079081,0.000000,0.089448,0.000000,0.003427
94,0.040990,0.000000,0.088379,0.000000,0.003393
95,0.032459,0.000000,0.087306,0.000000,0.003359
96,0.023694,0.000000,0.086232,0.000000,0.003325
97,0.002785,0.000000,0.085156,0.000000,0.003292
98,0.005945,0.000000,0.084095,0.000000,0.003259
99,-0.009026,0.000000,0.083048,0.000000,0.003226
100,0.000465,0.000000,0.082012,0.000000,0.003553
101,-0.004035,0.000000,0.080989,0.000000,0.003517
102,0.013678,0.000000,0.079984,0.000000,0.009273
103,0.031464,0.000000,0.079017,0.000000,0.009181
104,0.039460,0.000000,0.078079,0.000000,0.009089
105,0.058237,0.000000,0.077213,0.000000,0.008998
106,0.067285,0.000000,0.076395,0.000000,0.008908
107,0.084457,0.000000,0.075673,0.000000,0.008819
108,0.084122,0.000000,0.074960,0.000000,0.008731
109,0.090725,0.000000,0.074297,0.000000,0.008643
110,0.091207,0.000000,0.073647,0.000000,0.008557
111,0.078111,0.000000,0.072933,0.000000,0.008471
112,0.072824,0.000000,0.072203,0.000000,0.008387
113,0.054146,0.000000,0.071403,0.000000,0.008303
114,0.046653,0.000000,0.070588,0.000000,0.008220
115,0.039277,0.000000,0.069761,0.000000,0.008138
116,0.027829,0.000000,0.068918,0.000000,0.008056
117,0.023708,0.000000,0.068079,0.000000,0.007976
118,0.015145,0.000000,0.067237,0.000000,0.007896
119,0.016407,0.000000,0.066408,0.000000,0.007817
120,0.006030,0.000000,0.065581,0.000000,0.007739
121,0.007027,0.000000,0.064765,0.000000,0.007661
122,0.009039,0.000000,0.063960,0.000000,0.007585
123,0.001076,0.000000,0.063162,0.000000,0.007509
124,0.006755,0.000000,0.062375,0.000000,0.007434
125,0.003294,0.000000,0.061597,0.000000,0.007359
126,0.013250,0.000000,0.060836,0.000000,0.007286
127,0.015549,0.000000,0.060087,0.000000,0.007213
128,0.030306,0.000000,0.059375,0.000000,0.007141
129,0.040150,0.000000,0.058701,0.000000,0.007069
130,0.045860,0.000000,0.058057,0.000000,0.006999
131,0.052469,0.000000,0.057451,0.000000,0.006929
132,0.050379,0.000000,0.056843,0.000000,0.006859
133,0.049250,0.000000,0.056240,0.000000,0.006791
134,0.041386,0.000000,0.055613,0.000000,0.006723
135,0.035594,0.000000,0.054976,0.000000,0.006656
136,0.031846,0.000000,0.054336,0.000000,0.006589
137,0.021249,0.000000,0.053678,0.000000,0.006523
138,0.018767,0.000000,0.053025,0.000000,0.006458
139,0.012922,0.000000,0.052371,0.000000,0.006393
140,0.016805,0.000000,0.051731,0.000000,0.006330
141,0.016821,0.000000,0.051099,0.000000,0.006266
142,0.014442,0.000000,0.050471,0.000000,0.006204
